,x,y,cluster,name,club,pp,over,comb
55,-4.360340778959027,0.5204997781927126,1,G. Johnson,Stoke City,RB ,75,"G. Johnson, Stoke City, RB , 75"
56,-5.406177634309093,-1.182835856941169,1,E. Schelotto,Brighton & Hove Albion,RM RB ,75,"E. Schelotto, Brighton & Hove Albion, RM RB , 75"
57,-0.2764932431346167,6.225242683035255,4,A. Young,Manchester United,LB LM RB ,75,"A. Young, Manchester United, LB LM RB , 75"
58,-5.220493078159594,0.7430567066090886,1,P. van Aanholt,Crystal Palace,LB ,75,"P. van Aanholt, Crystal Palace, LB , 75"
59,-4.563182346192064,4.100857297327165,4,C. Brunt,West Bromwich Albion,LB RM ,75,"C. Brunt, West Bromwich Albion, LB RM , 75"
60,0.45057776885624173,-0.07428568546872591,0,D. Simpson,Leicester City,RB ,75,"D. Simpson, Leicester City, RB , 75"
61,1.8264343837411405,-2.5326822087488887,5,E. Pieters,Stoke City,LWB LB ,75,"E. Pieters, Stoke City, LWB LB , 75"
62,-3.3808274520297257,1.257125423613106,3,M. Olsson,Swansea City,LB ,75,"M. Olsson, Swansea City, LB , 75"
63,-2.4325461146205387,1.4482512273883685,3,Kiko Femenía,Watford,RM RB ,75,"Kiko Femenía, Watford, RM RB , 75"
64,5.705203425155338,1.7561498759856813,2,C. Chambers,Arsenal,RB CB ,75,"C. Chambers, Arsenal, RB CB , 75"
65,-5.2558008243319145,0.4630541431423198,1,C. Daniels,Bournemouth,LB ,75,"C. Daniels, Bournemouth, LB , 75"
66,-0.514074256984739,-3.0006541059113823,5,S. Ward,Burnley,LB ,75,"S. Ward, Burnley, LB , 75"
67,5.070484410372252,-0.48941539924848926,2,A. Robertson,Liverpool,LWB LB ,75,"A. Robertson, Liverpool, LWB LB , 75"
68,4.510454168686915,-0.4595133655382149,2,K. Naughton,Swansea City,RB ,75,"K. Naughton, Swansea City, RB , 75"
69,2.6478352780124,1.4349644489996176,0,C. Dawson,West Bromwich Albion,CB RB ,75,"C. Dawson, West Bromwich Albion, CB RB , 75"
70,4.656432696430179,1.9582265183637975,2,Y. Benalouane,Leicester City,RB CB ,75,"Y. Benalouane, Leicester City, RB CB , 75"
71,-0.9724352285639304,-2.043742935962145,5,J. Ward,Crystal Palace,LB RB ,74,"J. Ward, Crystal Palace, LB RB , 74"
72,-1.1296267166571918,-0.7976120580748645,5,Àngel Rangel,Swansea City,RB ,74,"Àngel Rangel, Swansea City, RB , 74"
73,-1.8982039379443147,-1.3826731061250932,3,J. Riedewald,Crystal Palace,LB CDM CB ,74,"J. Riedewald, Crystal Palace, LB CDM CB , 74"
74,-1.6705448008642616,0.7388075503359771,3,B. Dja Djédjé,Watford,RB ,74,"B. Dja Djédjé, Watford, RB , 74"
75,-5.685530215144927,-1.7353119757630395,1,C. Löwe,Huddersfield Town,LB ,73,"C. Löwe, Huddersfield Town, LB , 73"
76,0.8593538777636833,3.3420616459711394,4,J. Pied,Southampton,LB RM RB ,73,"J. Pied, Southampton, LB RM RB , 73"
77,-2.4371189977919823,1.6013699613411307,3,M. Suttner,Brighton & Hove Albion,LWB LB ,73,"M. Suttner, Brighton & Hove Albion, LWB LB , 73"
78,0.41968541937703874,-2.8044239447610133,5,Bruno Saltor,Brighton & Hove Albion,RB ,73,"Bruno Saltor, Brighton & Hove Albion, RB , 73"
79,-2.737619424221222,2.523369540011751,3,A. Smith,Bournemouth,RB ,73,"A. Smith, Bournemouth, RB , 73"
80,-2.1453413458200874,0.6125481563309437,3,P. Souaré,Crystal Palace,LB ,73,"P. Souaré, Crystal Palace, LB , 73"
81,2.102465226506501,1.096944659291063,0,C. Taylor,Burnley,LB ,73,"C. Taylor, Burnley, LB , 73"
82,8.536741257592055,1.553283584933144,2,C. Cathcart,Watford,RB CB ,73,"C. Cathcart, Watford, RB CB , 73"
83,4.320151012114377,-1.234842107099469,2,M. Kelly,Crystal Palace,CB LB RB ,73,"M. Kelly, Crystal Palace, CB LB RB , 73"
84,-4.456239347422436,4.094973060674361,3,D. Yedlin,Newcastle United,RB ,73,"D. Yedlin, Newcastle United, RB , 73"
85,4.044689691263664,0.5082067886036463,2,S. Byram,West Ham United,RM RB ,73,"S. Byram, West Ham United, RM RB , 73"
86,3.725457079207575,-2.922291165584764,2,T. Smith,Huddersfield Town,RB ,72,"T. Smith, Huddersfield Town, RB , 72"
87,2.981236418715956,6.490670504214878,4,Kenedy,Chelsea,LB LM ,72,"Kenedy, Chelsea, LB LM , 72"
88,1.495626781315995,-0.3764963696539114,0,G. Bong,Brighton & Hove Albion,LB ,72,"G. Bong, Brighton & Hove Albion, LB , 72"
89,4.807157921535831,0.5712847252191525,2,A. Mariappa,Watford,CB RB ,72,"A. Mariappa, Watford, CB RB , 72"
90,5.893406241062355,0.15604167494585267,2,P. Bardsley,Burnley,LB RB ,72,"P. Bardsley, Burnley, LB RB , 72"
91,2.0131556132120125,1.168433569470665,0,F. Hadergjonaj,Huddersfield Town,RWB RM RB ,72,"F. Hadergjonaj, Huddersfield Town, RWB RM RB , 72"
92,-0.442618405074073,5.389019909813267,4,J. Schlupp,Crystal Palace,LWB LM LB ,71,"J. Schlupp, Crystal Palace, LWB LM LB , 71"
93,4.060379606485494,1.3053511065529575,2,P. Dummett,Newcastle United,CB LB ,71,"P. Dummett, Newcastle United, CB LB , 71"
94,5.9279844314080306,2.762386210014963,2,L. Rosenior,Brighton & Hove Albion,RM RB LB ,71,"L. Rosenior, Brighton & Hove Albion, RM RB LB , 71"
95,-0.05308247727465945,3.4891695718771367,4,S. Malone,Huddersfield Town,LB ,71,"S. Malone, Huddersfield Town, LB , 71"
96,6.484044669280365,2.7289014161643084,2,T. Mings,Bournemouth,CB LB ,71,"T. Mings, Bournemouth, CB LB , 71"
97,5.7083130033576515,2.271947213760869,2,C. Martina,Everton,CB RWB RB ,71,"C. Martina, Everton, CB RWB RB , 71"
